epoch,model_level,loss,accuracy,train_time,test_time
9,12,0.3657,0.9694,0.68,0.33
1,13,0.4809,1.0,0.12,0.02
1,14,0.4436,0.9815,0.12,0.05
1,15,0.3437,0.9259,0.09,0.03
2,15,0.3476,0.963,0.12,0.02
1,16,0.3306,1.0,0.12,0.06
1,17,0.3541,0.9467,0.13,0.1
2,17,0.3747,0.92,0.14,0.1
3,17,0.3759,0.9067,0.13,0.1
4,17,0.4191,0.96,0.13,0.1
5,17,0.3833,0.9867,0.14,0.1
1,2,0.3783,0.9303,1.27,0.24
2,2,0.3805,0.9313,0.98,0.28
3,2,0.4173,0.9332,0.99,0.27
4,2,0.4169,0.9337,1.01,0.28
5,2,0.3791,0.9395,0.98,0.27
6,2,0.381,0.9337,1.01,0.24
7,2,0.4137,0.9337,0.98,0.25
8,2,0.4131,0.9103,1.04,0.22
9,2,0.397,0.9259,1.06,0.26
10,2,0.405,0.9303,1.04,0.27
11,2,0.3988,0.9181,1.01,0.3
12,2,0.3954,0.9171,1.03,0.25
13,2,0.397,0.922,1.1,0.22
14,2,0.4193,0.8893,1.0,0.25
15,2,0.4623,0.8966,1.0,0.25
1,3,0.3753,0.9591,0.6,0.19
2,3,0.3755,0.9607,0.6,0.19
1,4,0.3932,0.9474,2.1,0.64
2,4,0.3901,0.9522,2.09,0.64
3,4,0.3843,0.9602,2.14,0.63
1,5,0.3935,0.9372,8.87,2.69
2,5,0.3869,0.9533,8.9,2.66
3,5,0.3828,0.9574,8.83,2.66
4,5,0.3783,0.957,8.8,2.68
5,5,0.3767,0.9625,8.83,2.69
1,6,0.4062,0.9361,14.79,4.55
2,6,0.3937,0.9388,14.53,4.56
3,6,0.3869,0.9477,14.66,4.56
4,6,0.3823,0.9527,14.69,4.58
5,6,0.3826,0.9538,14.76,4.57
6,6,0.3785,0.9541,14.73,4.57
7,6,0.3782,0.9557,14.71,4.57
8,6,0.3762,0.9605,14.8,4.57
1,7,0.3961,0.9331,23.57,7.13
2,7,0.3904,0.945,23.09,7.12
3,7,0.3869,0.9543,23.08,7.1
4,7,0.3855,0.944,23.08,7.12
5,7,0.3823,0.9563,23.12,7.11
6,7,0.3788,0.9564,23.14,7.14
7,7,0.3762,0.9592,23.14,7.13
8,7,0.3757,0.9599,23.07,7.12
9,7,0.3731,0.9661,23.07,7.12
1,8,0.4027,0.9332,8.75,2.79
2,8,0.3909,0.9472,8.69,2.79
3,8,0.3825,0.9531,8.7,2.8
4,8,0.3792,0.9503,8.68,2.8
5,8,0.3785,0.9547,8.71,2.8
6,8,0.3741,0.9598,8.68,2.8
7,8,0.3714,0.9621,8.66,2.8
1,9,0.4081,0.932,15.62,4.91
2,9,0.399,0.9418,15.47,4.9
3,9,0.3909,0.9417,15.5,4.93
4,9,0.3875,0.9507,15.48,4.92
5,9,0.3863,0.95,15.52,4.9
6,9,0.3841,0.953,15.47,4.89
7,9,0.3802,0.9539,15.46,4.91
8,9,0.3784,0.9545,15.52,4.9
9,9,0.3761,0.9573,15.47,4.92
10,9,0.376,0.9593,15.47,4.9
11,9,0.3761,0.965,15.47,4.92
1,10,0.4229,0.9279,5.09,1.63
2,10,0.4015,0.943,5.04,1.64
3,10,0.3908,0.9528,5.05,1.64
4,10,0.3836,0.9554,5.05,1.64
5,10,0.3763,0.9554,5.05,1.64
6,10,0.3752,0.9743,5.05,1.64
1,11,0.4109,0.9312,1.64,0.49
2,11,0.39,0.9489,1.61,0.5
3,11,0.3851,0.9563,1.63,0.49
4,11,0.3817,0.9619,1.61,0.5
1,12,0.416,0.9435,1.04,0.42
2,12,0.3841,0.9605,1.05,0.42
1,13,0.4239,1.0,0.13,0.02
1,14,0.4077,1.0,0.12,0.06
1,15,0.3398,0.9722,0.09,0.03
1,16,0.3335,0.9831,0.12,0.06
1,17,0.3287,1.0,0.16,0.12
1,2,0.4278,0.8935,1.43,0.25
2,2,0.4197,0.8976,0.97,0.24
3,2,0.4106,0.9116,1.08,0.24
4,2,0.4079,0.9166,1.06,0.23
5,2,0.4046,0.922,1.0,0.24
6,2,0.3985,0.9233,1.04,0.23
7,2,0.3944,0.9287,1.06,0.24
8,2,0.3933,0.926,1.0,0.26
9,2,0.3917,0.9269,0.99,0.32
10,2,0.3913,0.9287,1.01,0.25
11,2,0.3898,0.9296,1.02,0.31
12,2,0.3902,0.9301,1.02,0.24
13,2,0.3894,0.9296,0.99,0.23
14,2,0.3898,0.9274,1.03,0.27
15,2,0.3893,0.9292,1.03,0.24
1,3,0.3872,0.9634,0.77,0.22
1,4,0.3893,0.9542,2.4,0.73
2,4,0.3872,0.9371,2.39,0.73
3,4,0.3856,0.9586,2.45,0.75
4,4,0.3826,0.9508,2.43,0.74
5,4,0.3877,0.9526,2.46,0.75
6,4,0.3804,0.9604,2.44,0.74
1,5,0.3863,0.9581,10.53,3.14
2,5,0.3794,0.9612,10.4,3.17
1,6,0.3925,0.9452,18.16,5.56
2,6,0.3835,0.9509,17.99,5.57
3,6,0.3842,0.9501,18.09,5.58
4,6,0.3793,0.9547,18.03,5.6
5,6,0.3782,0.9578,18.06,5.57
6,6,0.3765,0.9599,18.08,5.58
7,6,0.3761,0.9618,18.02,5.59
1,7,0.395,0.9421,32.46,9.8
2,7,0.3873,0.945,32.12,9.81
3,7,0.3817,0.9505,32.12,9.84
4,7,0.379,0.9611,32.14,9.84
1,8,0.3952,0.9479,11.79,3.65
2,8,0.3832,0.9522,11.73,3.66
3,8,0.3753,0.9576,11.71,3.66
4,8,0.3736,0.9636,11.72,3.68
1,9,0.3912,0.9491,21.91,6.94
2,9,0.3818,0.9564,21.88,6.94
3,9,0.3769,0.9559,21.89,6.95
4,9,0.3757,0.9604,21.88,6.95
1,10,0.3973,0.956,7.2,2.28
